Campaign,Source,Unique Pageviews,Bounces,Time on Page,Sessions,Pageviews,Exits,Session Duration,Year
FY2018_Undergrad,Facebook,"23,397","21,235",133:17:58,"22,676","26,879","22,676",133:19:36,"2,019"
FY2018_Graduate,Facebook,"9,750","8,699",47:16:09,"9,359","11,289","9,359",47:15:57,"2,019"
FY2018_Stonecoast,Facebook,"7,954","5,877",37:04:51,"7,551","10,764","7,551",37:06:05,"2,019"
FY2019_Graduate,Facebook,"7,343","6,500",41:22:15,"7,147","8,125","7,147",41:21:50,"2,019"
FY2019_Undergrad,Facebook,"6,585","5,009",12:37:30,"6,414","8,895","6,414",12:38:43,"2,019"
FY2019_GradMuskie,Facebook,"6,451","4,606",26:59:52,"6,280","8,552","6,280",27:01:18,"2,019"
FY2018_Degree_Completion,Facebook,"6,036","5,486",37:57:36,"5,852","6,610","5,852",37:57:24,"2,019"
FY2019_Transfer,Facebook,"5,119","2,932",14:55:22,"4,948","7,355","4,948",14:58:00,"2,019"
FY2020_Graduate,Facebook,"3,714","3,054",12:08:47,"3,409","4,117","3,409",12:08:35,"2,019"
FY2017_Undergrad,Facebook,"3,482","3,201",8:52:30,"3,421","3,690","3,421",8:52:17,"2,019"
FY2020_Undergrad,Facebook,"3,409","2,835",13:44:42,"3,030","3,726","3,030",13:44:42,"2,019"
FY2019_DegreeComp,Facebook,"2,957","2,688",14:53:07,"2,883","3,140","2,883",14:53:07,"2,019"
FY2018_Transfer,Facebook,"2,712","2,517",16:09:41,"2,651","2,822","2,651",16:09:41,"2,019"
FY2020_DegreeCompletion,Facebook,"1,796","1,637",2:17:51,"1,747","1,869","1,747",2:17:51,"2,019"
FY2019_IndividualCourses,Facebook,"1,784","1,246",16:09:29,"1,478","2,004","1,478",16:09:17,"2,019"
FY2019_SpringTravel,Facebook,"1,405","1,234",1:31:50,"1,332","1,527","1,332",1:32:02,"2,019"
FY2018_Individual_Courses,Facebook,904,819,1:25:31,880,990,880,1:25:31,"2,019"
FY2019_SummerCourses,Facebook,794,538,8:34:34,611,855,611,8:34:34,"2,019"
FY2020_Transfer,Facebook,464,452,0:00:24,464,476,464,0:00:24,"2,019"
FY2020_UnderGrad,Facebook,257,183,4:31:39,232,318,232,4:31:39,"2,019"
FY2020_GradMuskie,Facebook,49,49,0:00:00,49,49,49,0:00:00,"2,019"
fy2018_graduate,facebook,37,24,0:01:38,37,49,37,0:01:38,"2,019"
fy2018_undergrad,facebook,24,24,0:00:00,24,24,24,0:00:00,"2,019"
fy2018_degree_completion,facebook,12,12,0:00:00,12,12,12,0:00:00,"2,019"
fy2018_individual_courses,facebook,12,12,0:00:00,12,12,12,0:00:00,"2,019"
fy2019_degreecomp,facebook,12,12,0:00:00,12,12,12,0:00:00,"2,019"
fy2019_undergrad,facebook,12,12,0:00:00,12,12,12,0:00:00,"2,019"
FY2018_Undergrad,Facebook,"16,705","15,202",67:54:34,"16,271","18,208","16,271",67:54:41,"2,018"
FY2018_Graduate,Facebook,"9,969","8,958",38:32:51,"9,630","10,871","9,610",38:34:40,"2,018"
FY2018_Stonecoast,Facebook,"6,628","4,791",44:24:33,"6,397","8,815","6,397",44:25:59,"2,018"
FY2019_GradMuskie,Facebook,"5,922","3,678",32:37:38,"5,652","8,530","5,652",32:39:22,"2,018"
FY2019_Undergrad,Facebook,"5,447","4,397",28:31:05,"5,312","6,853","5,312",28:31:52,"2,018"
FY2018_Degree_Completion,Facebook,"4,737","4,200",29:18:18,"4,590","5,305","4,590",29:18:29,"2,018"
FY2019_Transfer,Facebook,"4,421","2,678",15:40:01,"4,327","6,356","4,327",15:41:48,"2,018"
FY2017_Undergrad,Facebook,"3,444","3,195",12:11:13,"3,398","3,702","3,398",12:11:10,"2,018"
FY2019_Graduate,Facebook,"3,419","3,012",16:52:32,"3,297","3,995","3,297",16:52:38,"2,018"
FY2019_DegreeComp,Facebook,"2,594","2,291",14:52:57,"2,505","2,919","2,505",14:53:04,"2,018"
FY2018_Transfer,Facebook,"2,490","2,302",10:57:00,"2,436","2,682","2,436",10:57:00,"2,018"
FY2019_IndividualCourses,Facebook,970,746,5:36:18,836,"1,097",836,5:36:22,"2,018"
FY2018_Individual_Courses,Facebook,474,419,2:39:09,458,568,457,2:39:08,"2,018"
fy2018_undergrad,facebook,19,9,0:01:12,19,29,19,0:01:12,"2,018"
fy2018_graduate,facebook,14,5,0:01:09,14,23,14,0:01:09,"2,018"
fy2019_undergrad,facebook,12,5,0:00:39,12,19,12,0:00:39,"2,018"
fy2018_transfer,facebook,8,6,0:00:17,8,10,8,0:00:17,"2,018"
fy2019_gradmuskie,facebook,8,8,0:00:00,8,8,8,0:00:00,"2,018"
fy2019_graduate,facebook,8,4,0:00:27,8,12,8,0:00:27,"2,018"
FY2017_Transfer,Facebook,7,4,0:13:34,7,17,7,0:13:33,"2,018"
fy2017_undergrad,facebook,6,6,0:00:00,6,6,6,0:00:00,"2,018"
fy2019_transfer,facebook,6,4,0:00:13,6,8,6,0:00:13,"2,018"
fy2018_degree_completion,facebook,4,3,0:00:05,4,5,4,0:00:05,"2,018"
fy2018_stonecoast,facebook,4,4,0:00:00,4,4,4,0:00:00,"2,018"
fy2019_degreecomp,facebook,4,2,0:00:10,4,6,4,0:00:10,"2,018"
fy2014_transfers,facebook,3,3,0:00:00,3,3,3,0:00:00,"2,018"
FY2019_Undergra,Facebook,3,1,0:00:06,2,3,2,0:00:06,"2,018"
FY2017_Graduate,Facebook,2,2,0:00:00,2,2,2,0:00:00,"2,018"
FY2017xa_Graduate,Facebook,2,2,0:00:00,2,2,2,0:00:00,"2,018"
fy2018_individual_courses,facebook,2,2,0:00:00,2,2,2,0:00:00,"2,018"
FY2019,Facebook,2,2,0:00:00,2,2,2,0:00:00,"2,018"
FY2019_Grad,Facebook,2,2,0:00:00,2,2,2,0:00:00,"2,018"
FY2014_DegreeCompletion,Facebook,1,1,0:00:00,1,1,1,0:00:00,"2,018"
FY2014_Transfers,Facebook,1,1,0:00:00,1,1,1,0:00:00,"2,018"
FY2014_Undergrad,Facebook,1,1,0:00:00,1,1,1,0:00:00,"2,018"
FY2018_Undergradporn,Facebook,1,1,0:00:00,1,1,1,0:00:00,"2,018"
